L,N,k,instance_idx,n_colors,n_quartets,rng_seed,syk_generator_model,quartet_sampling_model,coupling_model,parent_coloring_model,numpy_version,networkx_version,quartets_sha256,coloring_sha256
5,25,0.5,4,8,26,4,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,28b27bfad9eec9fcc405491091ef76c9d9db1eebbc52cc50f600d43e45d5a7b6,2059929c244b1b7c319b601bc27cda57edcfe5d245bb479d2010f88b5eb6d694
5,25,0.5,5,9,25,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,d8a767221783aa53f4c40da8238a6111ea29b641b9409188e2c789abc68e31c4,8aaf4de7b7936af3644b153d0489169518bcde576ea09839f4c94b45a3e8b7bf
5,25,0.5,6,10,31,6,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,87ed78f5577c0aec2f9aa77af681c9f661a178bcc87f3f636e317f769e8d53b4,8d05aa4a13d3949935afde0b21c21170d24b8b6a5db214960a93bf53fb492438
5,25,0.5,7,9,24,7,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5cb95af39139a586c4de9143ffe5c4169120e6d90e764c143c93036961bcee9b,35941b724a6ef361a93163cfa00ab91c07d2b943288c061aee8a0ae19e7a097c
5,25,0.5,8,7,20,8,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,50eed214cf51c92a08f10dfa6af184a381586a38c4b5a7bfa65389ee647150c9,9a88d7ff926e02ca91e7efbfa040db326a1d260dbdbf14fd3f306509146fdecc
5,25,0.5,9,6,15,9,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,dde9bc2299a01243d45ddf06298b5f0def49c81860f3bc32aae32edc316da9dc,695e432d6044bb5263b441689848c62fe311a6d1b6e2fcb8ef02de7fc0aeccb3
5,25,1.0,0,17,58,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,010324318f305fe26fccf7d92f19ef80332a9e71920679db11455b980151251b,88f07037249682a74cb7af0fced8375cc750250bad18ba725d23e16a6d930d22
5,25,1.0,1,14,52,1,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,ce30fba055b23c5c5feee521d692402881c4d7957e73eb3d2f0a24cc2bf29a11,091dd5f1253f18111b1434ffe451fc3b6f84023d3fb418c9c50abbef87e2e93f
5,25,1.0,2,15,56,2,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,e74717a6d76b7e6c1982242631a9b95e7fc89cccf4b4ae2a961bd43c3b09ea1a,e5c41cdaf96ff72f7ffc4c3ef9fad5b2d0cdbedadd3a71cc7eb070b071660013
5,25,1.0,3,15,57,3,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,02239bb9a13d9208a7a09bc441a26121372150f9863bc1b1d693ac7104e9da13,19fc45842aa58f05f680a59f3ee84eae423d6802cd5f7063959fce1ffb85074c
