L,N,k,instance_idx,baseline,n_colors,n_quartets,n_ancillas,total_qubits,cnot_depth,fp_cnot_depth,interaction_cnot_depth,total_2q_gates,total_cnots,total_idle_slots,spacetime_volume,p_2q,p_idle,mult_fidelity
4,16,1.0,9,ancilla,9,20,4,20,1311,1248,63,3542,3982,16016,26220,0.001,0.0001,0.005825838934026966
4,16,1.0,9,ancilla,9,20,4,20,1311,1248,63,3542,3982,16016,26220,0.0001,1e-05,0.5978720494919733
4,16,1.0,9,ancilla,9,20,4,20,1311,1248,63,3542,3982,16016,26220,1e-05,1.0000000000000002e-06,0.9498642635121353
4,16,1.0,9,primitive,9,20,0,16,1887,1824,63,4766,5206,18164,30192,0.001,0.0001,0.0013810994198916416
4,16,1.0,9,primitive,9,20,0,16,1887,1824,63,4766,5206,18164,30192,0.0001,1e-05,0.5177489846479333
4,16,1.0,9,primitive,9,20,0,16,1887,1824,63,4766,5206,18164,30192,1e-05,1.0000000000000002e-06,0.9362954061989417
4,16,1.0,9,pipelined,9,20,0,16,1635,1572,63,4334,4774,14996,26160,0.001,0.0001,0.0029209585946120185
4,16,1.0,9,pipelined,9,20,0,16,1635,1572,63,4334,4774,14996,26160,0.0001,1e-05,0.5580077536601645
4,16,1.0,9,pipelined,9,20,0,16,1635,1572,63,4334,4774,14996,26160,1e-05,1.0000000000000002e-06,0.9433327228207248
6,36,1.0,0,naive_pauli,15,77,0,36,2400,0,2400,2400,2400,81600,86400,0.001,0.0001,2.5891163429515363e-05
6,36,1.0,0,naive_pauli,15,77,0,36,2400,0,2400,2400,2400,81600,86400,0.0001,1e-05,0.34783881533751
6,36,1.0,0,naive_pauli,15,77,0,36,2400,0,2400,2400,2400,81600,86400,1e-05,1.0000000000000002e-06,0.8997843452106294
6,36,1.0,0,1d,15,77,0,36,1703,1588,115,7554,14666,17616,61308,0.001,0.0001,8.966163303501457e-05
6,36,1.0,0,1d,15,77,0,36,1703,1588,115,7554,14666,17616,61308,0.0001,1e-05,0.39392345968175124
6,36,1.0,0,1d,15,77,0,36,1703,1588,115,7554,14666,17616,61308,1e-05,1.0000000000000002e-06,0.9110510130658995
6,36,1.0,0,ancilla,15,77,6,42,3413,3298,115,15294,18326,93900,143346,0.001,0.0001,1.8895040548698537e-11
6,36,1.0,0,ancilla,15,77,6,42,3413,3298,115,15294,18326,93900,143346,0.0001,1e-05,0.08471342662382594
6,36,1.0,0,ancilla,15,77,6,42,3413,3298,115,15294,18326,93900,143346,1e-05,1.0000000000000002e-06,0.7812650519218658
6,36,1.0,0,primitive,15,77,0,36,5693,5578,115,22494,25526,143796,204948,0.001,0.0001,9.567510629680402e-17
6,36,1.0,0,primitive,15,77,0,36,5693,5578,115,22494,25526,143796,204948,0.0001,1e-05,0.025035019173325616
6,36,1.0,0,primitive,15,77,0,36,5693,5578,115,22494,25526,143796,204948,1e-05,1.0000000000000002e-06,0.6916071432719904
6,36,1.0,0,pipelined,15,77,0,36,4433,4318,115,20094,23126,103236,159588,0.001,0.0001,6.098369159150274e-14
6,36,1.0,0,pipelined,15,77,0,36,4433,4318,115,20094,23126,103236,159588,0.0001,1e-05,0.04774573007685841
6,36,1.0,0,pipelined,15,77,0,36,4433,4318,115,20094,23126,103236,159588,1e-05,1.0000000000000002e-06,0.7377302350807945
6,36,1.0,1,naive_pauli,15,70,0,36,2132,0,2132,2132,2132,72488,76752,0.001,0.0001,8.420728036058706e-05
6,36,1.0,1,naive_pauli,15,70,0,36,2132,0,2132,2132,2132,72488,76752,0.0001,1e-05,0.39137297041435576
6,36,1.0,1,naive_pauli,15,70,0,36,2132,0,2132,2132,2132,72488,76752,1e-05,1.0000000000000002e-06,0.910457423254655
6,36,1.0,1,1d,15,70,0,36,1767,1654,113,6640,12886,20560,63612,0.001,0.0001,0.00016668162173123888
6,36,1.0,1,1d,15,70,0,36,1767,1654,113,6640,12886,20560,63612,0.0001,1e-05,0.4191048170925771
6,36,1.0,1,1d,15,70,0,36,1767,1654,113,6640,12886,20560,63612,1e-05,1.0000000000000002e-06,0.9167134496752956
6,36,1.0,1,ancilla,15,70,6,42,3389,3276,113,15186,18158,93570,142338,0.001,0.0001,2.175742696576836e-11
