L,N,perm_kind,perm_idx,baseline,accounting_model,hall_decomposition_model,gamma_schedule_model,sampling_model,stim_seed,permutation_model,permutation_seed,permutation_sha256,numpy_version,cirq_version,openfermion_version,stim_version,n_ancillas,total_qubits,cnot_depth,total_cnots,n_fswap,n_2q_cnot_cz,total_idle_slots_layered,total_2q_gates_legacy,total_idle_slots_legacy,n_1q_hadamard,n_1q_other,n_1q_s_sdag,n_1q_rz,n_1q_pauli_z,spacetime_volume,p_2q,p_idle,mult_fidelity,mult_fidelity_legacy,stim_fidelity,stim_fidelity_ci_lo,stim_fidelity_ci_hi,stim_shots
4,16,random,0,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,962417303517942245,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,24,94,47,0,196,47,98,0,0,0,0,0,384,1e-05,1e-05,0.997104186480018,0.9985510435025432,0.997097,0.9969896248649776,0.9972005559943226,1000000
4,16,random,0,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,8047546840324781805,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,4,20,128,336,25,286,1888,311,1758,0,0,0,0,0,2560,0.0001,0.0001,0.8005861590924922,0.8130925439711356,0.810421,0.8096515651917119,0.8111880498784348,1000000
4,16,random,0,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,5340085282123596161,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,4,20,128,336,25,286,1888,311,1758,0,0,0,0,0,2560,1e-05,1e-05,0.9780053768110327,0.9795224681726219,0.978922,0.97863861689574,0.9792017036000539,1000000
4,16,random,0,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,8183847263235386626,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,102,284,25,234,1064,259,970,0,0,0,0,12,1632,0.0001,0.0001,0.8738847819498909,0.8843466586593235,0.873984,0.8733321148775265,0.8746330118451945,1000000
4,16,random,0,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,1108239768417041014,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,102,284,25,234,1064,259,970,0,0,0,0,12,1632,1e-05,1e-05,0.9866103818314537,0.9877851529098511,0.986796,0.9865703976017802,0.9870178623989517,1000000
4,16,random,0,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,5663418348319551236,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,88,260,25,210,888,235,794,0,0,0,0,12,1408,0.0001,0.0001,0.8915393171725778,0.9022125484846731,0.89173,0.8911194923154979,0.8923374980666883,1000000
4,16,random,0,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,781220533243138861,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,88,260,25,210,888,235,794,0,0,0,0,12,1408,1e-05,1e-05,0.9885855870179314,0.9897627100013664,0.988789,0.9885807558307971,0.9889934888579386,1000000
4,16,random,0,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,1138531057922058936,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,32,142,25,92,228,117,134,0,0,0,0,8,512,0.0001,0.0001,0.963674352430994,0.9752111619411444,0.963985,0.9636180188792098,0.964348416375886,1000000
4,16,random,0,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,8761304671484525188,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,32,142,25,92,228,117,134,0,0,0,0,8,512,1e-05,1e-05,0.9963068181338541,0.9974931348975001,0.996283,0.9961618073100879,0.9964003798030833,1000000
4,16,random,1,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,4366742673337847502,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,30,114,57,0,252,57,126,0,0,0,0,0,480,0.0001,0.0001,0.9640599185586785,0.9818655297741531,0.963909,0.9635416484689528,0.9642727873700424,1000000
