L,N,perm_kind,perm_idx,baseline,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnots,total_idle_slots,spacetime_volume,p_2q,p_idle,mult_fidelity,stim_fidelity,stim_shots
4,16,random,3,primitive,0,16,263,263,263,3682,4208,0.001,0.0001,0.53187328773472,0.658,1000
4,16,random,3,primitive,0,16,263,263,263,3682,4208,0.0001,1e-05,0.9388293997489026,0.955,1000
4,16,random,3,primitive,0,16,263,263,263,3682,4208,1e-05,1.0000000000000002e-06,0.9937078639281052,0.99,1000
4,16,random,3,pipelined,0,16,239,239,239,3346,3824,0.001,0.0001,0.5634164023328214,0.657,1000
4,16,random,3,pipelined,0,16,239,239,239,3346,3824,0.0001,1e-05,0.944252790271312,0.951,1000
4,16,random,3,pipelined,0,16,239,239,239,3346,3824,1e-05,1.0000000000000002e-06,0.9942804058937847,0.996,1000
4,16,random,4,1d,0,16,49,49,49,686,784,0.001,0.0001,0.8890267565413755,0.926,1000
4,16,random,4,1d,0,16,49,49,49,686,784,0.0001,1e-05,0.98830860248079,0.992,1000
4,16,random,4,1d,0,16,49,49,49,686,784,1e-05,1.0000000000000002e-06,0.998824688427265,1.0,1000
4,16,random,4,ancilla,4,20,195,195,195,3510,3900,0.001,0.0001,0.5791955527409597,0.679,1000
4,16,random,4,ancilla,4,20,195,195,195,3510,3900,0.0001,1e-05,0.946862728312873,0.958,1000
4,16,random,4,ancilla,4,20,195,195,195,3510,3900,1e-05,1.0000000000000002e-06,0.9945548672659229,0.992,1000
4,16,random,4,primitive,0,16,263,263,263,3682,4208,0.001,0.0001,0.53187328773472,0.622,1000
4,16,random,4,primitive,0,16,263,263,263,3682,4208,0.0001,1e-05,0.9388293997489026,0.963,1000
4,16,random,4,primitive,0,16,263,263,263,3682,4208,1e-05,1.0000000000000002e-06,0.9937078639281052,0.995,1000
4,16,random,4,pipelined,0,16,239,239,239,3346,3824,0.001,0.0001,0.5634164023328214,0.649,1000
4,16,random,4,pipelined,0,16,239,239,239,3346,3824,0.0001,1e-05,0.944252790271312,0.948,1000
4,16,random,4,pipelined,0,16,239,239,239,3346,3824,1e-05,1.0000000000000002e-06,0.9942804058937847,0.996,1000
4,16,random,5,1d,0,16,46,46,46,644,736,0.001,0.0001,0.8954523802971921,0.921,1000
4,16,random,5,1d,0,16,46,46,46,644,736,0.0001,1e-05,0.9890204578189083,0.99,1000
4,16,random,5,1d,0,16,46,46,46,644,736,1e-05,1.0000000000000002e-06,0.9988966065646608,0.998,1000
4,16,random,5,ancilla,4,20,194,194,194,3492,3880,0.001,0.0001,0.5808199157366549,0.693,1000
4,16,random,5,ancilla,4,20,194,194,194,3492,3880,0.0001,1e-05,0.9471278925856592,0.971,1000
4,16,random,5,ancilla,4,20,194,194,194,3492,3880,1e-05,1.0000000000000002e-06,0.9945827152507567,0.995,1000
4,16,random,5,primitive,0,16,262,262,262,3668,4192,0.001,0.0001,0.5331516207231995,0.635,1000
4,16,random,5,primitive,0,16,262,262,262,3668,4192,0.0001,1e-05,0.939054751198221,0.948,1000
4,16,random,5,primitive,0,16,262,262,262,3668,4192,1e-05,1.0000000000000002e-06,0.9937317132596731,0.998,1000
4,16,random,5,pipelined,0,16,238,238,238,3332,3808,0.001,0.0001,0.5647705477467038,0.653,1000
4,16,random,5,pipelined,0,16,238,238,238,3332,3808,0.0001,1e-05,0.9444794435214846,0.965,1000
4,16,random,5,pipelined,0,16,238,238,238,3332,3808,1e-05,1.0000000000000002e-06,0.9943042689665572,0.995,1000
4,16,random,6,1d,0,16,62,62,62,868,992,0.001,0.0001,0.8617109744784909,0.902,1000
