L,N,method,gamma_method,gamma_schedule_model,cirq_version,openfermion_version,numpy_version,pandas_version,matplotlib_version,networkx_version,accounting_model,rotation_inventory_model,hall_decomposition_model,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnot_equiv,total_idle_slots,total_idle_slots_layered,n_1q_nonz,n_exact_t,n_synth_rz,spacetime_volume,p_2q,p_idle,p_1q,mult_fidelity,mult_fidelity_legacy,verification_error
6,36,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,36,188,891,1782,1602,3204,73,168,96,6768,0.0001,0.0001,0.0001,0.6073652544997163,0.7793364193335998,
6,36,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,36,188,891,1782,1602,3204,73,168,96,6768,1e-05,1e-05,1e-05,0.9513623687665942,0.9753780645301564,
6,36,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,36,78,520,736,832,1336,73,168,96,2808,0.001,0.001,0.001,0.12580317567624627,0.25854734448148325,
6,36,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,36,78,520,736,832,1336,73,168,96,2808,0.0001,0.0001,0.0001,0.8128486405999076,0.8735352804667025,
6,36,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,36,78,520,736,832,1336,73,168,96,2808,1e-05,1e-05,1e-05,0.9794930827924325,0.9865709180081429,
6,36,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,36,152,1005,1402,1662,2668,73,168,96,5472,0.001,0.001,0.001,0.017042648219988764,0.06936766864650314,
6,36,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,36,152,1005,1402,1662,2668,73,168,96,5472,0.0001,0.0001,0.0001,0.665630643677,0.7658925939187948,
6,36,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,36,152,1005,1402,1662,2668,73,168,96,5472,1e-05,1e-05,1e-05,0.9601169264984745,0.9736823738980892,
6,36,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,6,42,424,1737,2134,12234,13540,73,168,96,17808,0.001,0.001,0.001,1.5469007643382047e-07,8.500334285788346e-07,
6,36,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,6,42,424,1737,2134,12234,13540,73,168,96,17808,0.0001,0.0001,0.0001,0.20857045623667594,0.24729585647315228,
